Concept,Baseline,Awareness,p_value
Surveillance Awareness,0.19236458235420284,0.6844185590744019,3.300387466325812e-20
Safety Refusal,0.31099459403660146,0.011844060383737,2.4178116587399925e-17
Compliance,0.32246233507990835,0.2821026146411896,0.4633709708658882
